FighterID,Name,Height,Weight,Reach,DOB,SSPM,StrkACC,SSAbsPM,StrkDEF,TDAVG,TDACC,TDDEF,SUBAVG,Wins,Losses,WLDiff,Fire
0eec866a077889f0,Manny Tapia,"5'5""",135,67,1981,2.69,0.21,4.74,0.58,0.49,0.4,0.66,0.2,2,3,-1,-1
6aab5c20395ee722,Murtaza Talha,,205,,  --,0,0,0,0,0,0,0,0,0,0,0,0
bfd4d50591033a1f,Eli Tamez,"5'7""",135,,1985,0,0,0,0,0,0,0,0,0,0,0,0
4123fd4dcc1fe937,David Terrell,"6'1""",185,,1978,2.34,0.63,2.71,0.37,5.54,0.5,0,5.5,2,1,1,1
b9aa7d230865b5fe,Tom Tuggle,"6'2""",250,,  --,0,0,2.14,0,32.14,1,0,0,0,1,-1,-1
73abb7a5c57fb443,Alexander Trevino,,170,,  --,0,0,0,0,0,0,0,0,3,1,2,-1
53ec9cb470e1a4ea,Jon Tuck,"5'11""",155,73,1984,3,0.4,3.74,0.6,0.42,0.33,0.5,1,4,5,-1,-1
e175a261a280f7cb,Abram Torres,"5'10""",170,,1982,0,0,0,0,0,0,0,0,0,0,0,0
083e15da67d9b0fa,Josh Thornburg,"6'0""",170,,1984,1.2,0.5,3.13,0.38,2,0.66,0.42,2,0,2,-2,-1
54f64b5e283b0ce7,Ilia Topuria,"5'7""",145,69,1997,4.44,0.46,3.05,0.67,2.19,0.56,0.92,1.5,6,0,6,5.80608
6e743a33d56bdaa4,Payton Talbott,"5'10""",135,70,1998,9.67,0.51,5.07,0.5,0,0,0.94,0,1,0,1,0
2b33e57c4d0a4502,Joel Thomas,"5'10""",170,,  --,0,0,0,0,0,0,0,0,0,1,-1,-1
82529ce93cd9a2cf,Anton Turkalj,"6'4""",205,78,1996,1.72,0.53,2.48,0.49,6.55,0.51,0.16,0,1,3,-2,-1
274ca7b799b402cc,Andrew Todhunter,"6'0""",185,,1987,0,0,0,0,0,0,0,0,0,0,0,0
4f74c8be51db8a37,Daiju Takase,"6'0""",170,,1978,0.49,0.3,1.64,0.47,0.84,0.17,0.21,1.2,4,6,-2,-1
1ed32eaaba9ffe10,Jumabieke Tuerxun,"5'7""",135,,1986,1.6,0.28,3.08,0.59,0.47,0.11,0.66,0.9,0,3,-3,-1
7b461ccae8270207,Brett Tillis,,145,,  --,0,0,0,0,0,0,0,0,0,1,-1,-1
9b74de674c355425,Paul Taylor,"6'0""",155,72,1979,4.44,0.47,4.47,0.55,0.27,0.25,0.56,0.5,4,5,-1,1
df05aa15b2d66f57,Chris Tuchscherer,"6'2""",258,76,1975,1.35,0.31,3.17,0.47,1.19,0.18,0,0.6,1,3,-2,-1
8f5c8850b2484173,Mairbek Taisumov,"5'9""",155,73,1988,2.98,0.39,3.03,0.64,1.34,0.63,0.88,0,7,2,5,-1
b76c6268dc1d3c05,Danielle Taylor,"5'0""",115,60,1989,2.75,0.29,3.31,0.71,0.2,0.2,0.7,0.2,2,3,-1,-1
8f2d9ee27f206f1f,Evan Tanner,"6'0""",185,74,1971,3.05,0.59,2.64,0.56,2.55,0.43,0.25,1.3,11,6,5,-1
2747c60e42d9d75f,David Teymur,"5'9""",155,73,1989,4.69,0.43,3.53,0.55,0.94,0.33,0.77,0,5,1,4,-1
f0264252e191da22,Jason Thacker,"5'10""",185,,1975,0.63,0.33,17.05,0.32,0,0,0,0,0,1,-1,-1
49bddfee9ed54cf3,Louis Taylor,"5'11""",185,,1979,2.06,0.32,1.24,0.68,2.48,0.28,1,0,0,2,-2,-1
d856a0080ac09ed7,Yoshihiro Takayama,"6'5""",280,,1968,3.4,0.54,5.69,0.29,0.67,0.33,0.55,0,0,3,-3,-1
9384e71bca6c409d,Marco Tulio,"6'0""",185,74,1994,3.2,0.48,2.2,0.52,2,0.25,0,1,1,0,1,1
63f8775391301891,Blair Tugman,"6'0""",135,,  --,2.25,0.53,0.93,0.5,7.5,0.6,0,0,0,0,0,0
d10b35152277cf98,James Toney,"5'9""",220,,1968,0,0,2.41,0.27,0,0,0,0,0,1,-1,-1
88e53ec16b801740,Torrance Taylor,"5'7""",155,,  --,0,0,0,0,0,0,0,0,0,1,-1,-1
